filename,class,x_center,y_center,width,height
image0.jpg,1,0.872853,0.889007,0.079175,0.219414
image010.jpg,1,0.526623,0.247424,0.0827154,0.179503
image0100.jpg,1,0.79243,0.223896,0.112001,0.169763
image0101.jpg,1,0.621365,0.290473,0.12247,0.162653
image0102.jpg,1,0.861379,0.354393,0.142891,0.170196
image0103.jpg,1,0.152572,0.78433,0.0598513,0.171278
image0104.jpg,1,0.792063,0.223939,0.113179,0.169831
image0105.jpg,1,0.627113,0.266837,0.122818,0.218122
image0106.jpg,1,0.154385,0.764342,0.0548461,0.1667
image0107.jpg,1,0.860135,0.354932,0.141677,0.170369
image0108.jpg,1,0.792097,0.223966,0.113088,0.16974
image0109.jpg,1,0.62712,0.267055,0.122816,0.217681
image011.jpg,1,0.792258,0.221995,0.112175,0.173606
image0110.jpg,1,0.154374,0.764482,0.0547569,0.166546
image0111.jpg,1,0.860146,0.354981,0.141669,0.170422
image0112.jpg,1,0.636127,0.283673,0.124022,0.190295
image0113.jpg,1,0.792128,0.224566,0.112927,0.168372
image0114.jpg,0,0.168869,0.719459,0.0589231,0.175111
image0115.jpg,1,0.860232,0.354751,0.14191,0.170791
image0116.jpg,1,0.636111,0.282572,0.124109,0.192438
image0117.jpg,1,0.792127,0.224565,0.112938,0.168388
image0118.jpg,0,0.168881,0.719387,0.0589879,0.175189
image0119.jpg,1,0.860231,0.354745,0.141922,0.170787
image012.jpg,1,0.534008,0.254349,0.0859372,0.17431
image0120.jpg,1,0.645414,0.289917,0.128184,0.180314
image0121.jpg,1,0.792259,0.22476,0.113668,0.167464
image0122.jpg,1,0.860707,0.355629,0.142722,0.170256
image0123.jpg,1,0.176832,0.689341,0.0510114,0.164076
image0124.jpg,1,0.645405,0.289738,0.128188,0.180655
image0125.jpg,1,0.792259,0.224742,0.11366,0.167516
image0126.jpg,1,0.860708,0.355623,0.142715,0.17026
image0127.jpg,1,0.176792,0.689289,0.0509061,0.164016
image0128.jpg,1,0.650824,0.294101,0.127892,0.176939
image0129.jpg,1,0.792254,0.224369,0.113513,0.168139
image013.jpg,1,0.860975,0.353859,0.144577,0.172075
image0130.jpg,0,0.182478,0.671608,0.0505127,0.162051
image0131.jpg,1,0.860796,0.355438,0.142682,0.170238
image0132.jpg,1,0.650831,0.294009,0.127895,0.177121
image0133.jpg,1,0.792254,0.224372,0.113513,0.168136
image0134.jpg,0,0.182237,0.671387,0.0504589,0.16245
image0135.jpg,1,0.860796,0.355439,0.142687,0.170235
image0136.jpg,1,0.659932,0.27599,0.131945,0.216755
image0137.jpg,1,0.792322,0.224273,0.113491,0.168417
image0138.jpg,1,0.191364,0.637236,0.0526901,0.160053
image0139.jpg,1,0.860825,0.355459,0.142658,0.170197
image014.jpg,1,0.792251,0.221966,0.112146,0.17366
image0140.jpg,1,0.65987,0.275409,0.132039,0.21792
image0141.jpg,1,0.792322,0.224275,0.11348,0.168391
image0142.jpg,1,0.191278,0.637196,0.0528566,0.160289
image0143.jpg,1,0.860827,0.355447,0.14267,0.170202
image0144.jpg,1,0.659878,0.275481,0.132015,0.217767
image0145.jpg,1,0.79232,0.224284,0.113476,0.168376
image0146.jpg,1,0.191271,0.637204,0.0528044,0.160294
image0147.jpg,1,0.860828,0.355449,0.142668,0.170199
image0148.jpg,1,0.669838,0.280448,0.134352,0.212214
