file_name,class
frame_236_.txt,1
frame_237_.txt,0
frame_238_.txt,1
frame_239_.txt,0
frame_23_.txt,0
frame_240_.txt,1
frame_241_.txt,0
frame_242_.txt,0
frame_243_.txt,0
frame_244_.txt,0
frame_245_.txt,0
frame_246_.txt,1
frame_247_.txt,0
frame_548_.txt,0
frame_248_.txt,0
frame_249_.txt,0
frame_24_.txt,0
frame_250_.txt,0
frame_251_.txt,0
frame_252_.txt,0
frame_253_.txt,0
frame_254_.txt,0
frame_255_.txt,0
frame_256_.txt,0
frame_257_.txt,0
frame_258_.txt,1
frame_259_.txt,1
frame_235_.txt,0
frame_234_.txt,0
frame_233_.txt,0
frame_232_.txt,1
frame_210_.txt,0
frame_551_.txt,1
frame_211_.txt,0
frame_212_.txt,0
frame_213_.txt,0
frame_550_.txt,0
frame_214_.txt,0
frame_215_.txt,0
frame_216_.txt,0
frame_217_.txt,1
frame_218_.txt,1
frame_219_.txt,0
frame_54_.txt,1
frame_25_.txt,0
frame_21_.txt,0
frame_221_.txt,1
frame_222_.txt,1
frame_223_.txt,1
frame_224_.txt,1
frame_225_.txt,1
frame_226_.txt,1
frame_227_.txt,0
frame_228_.txt,0
frame_229_.txt,0
frame_22_.txt,0
frame_549_.txt,0
frame_230_.txt,0
frame_231_.txt,1
frame_220_.txt,0
frame_547_.txt,1
frame_260_.txt,0
frame_261_.txt,1
frame_287_.txt,1
frame_288_.txt,1
frame_289_.txt,1
frame_28_.txt,1
frame_541_.txt,0
frame_290_.txt,1
frame_291_.txt,1
frame_540_.txt,0
frame_292_.txt,1
frame_293_.txt,1
frame_294_.txt,1
frame_53_.txt,1
frame_295_.txt,0
frame_286_.txt,0
frame_296_.txt,0
frame_539_.txt,0
frame_298_.txt,1
frame_299_.txt,0
frame_29_.txt,0
frame_538_.txt,0
frame_2_.txt,1
frame_300_.txt,1
frame_537_.txt,1
frame_301_.txt,1
frame_302_.txt,1
frame_303_.txt,1
frame_536_.txt,1
frame_304_.txt,1
frame_297_.txt,1
frame_20_.txt,0
frame_285_.txt,1
frame_283_.txt,0
frame_262_.txt,1
frame_263_.txt,1
frame_264_.txt,1
frame_265_.txt,1
frame_266_.txt,1
frame_267_.txt,1
frame_268_.txt,1
frame_269_.txt,1
frame_546_.txt,1
frame_26_.txt,1
frame_545_.txt,1
frame_270_.txt,1
frame_271_.txt,1
frame_284_.txt,1
frame_272_.txt,1
frame_274_.txt,1
frame_544_.txt,0
frame_275_.txt,1
frame_454_.txt,0
frame_277_.txt,1
frame_543_.txt,1
frame_278_.txt,1
frame_279_.txt,0
frame_27_.txt,1
frame_280_.txt,0
frame_281_.txt,0
frame_542_.txt,0
frame_282_.txt,0
frame_273_.txt,1
frame_209_.txt,0
frame_552_.txt,0
frame_208_.txt,0
frame_161_.txt,1
frame_589_.txt,1
frame_588_.txt,0
frame_162_.txt,1
frame_587_.txt,1
frame_163_.txt,1
frame_586_.txt,0
frame_585_.txt,1
frame_164_.txt,1
frame_584_.txt,1
frame_165_.txt,0
frame_583_.txt,1
frame_166_.txt,1
frame_58_.txt,0
frame_582_.txt,1
frame_581_.txt,1
frame_168_.txt,0
frame_580_.txt,1
frame_169_.txt,0
frame_57_.txt,1
frame_16_.txt,0
frame_170_.txt,1
frame_579_.txt,1
frame_578_.txt,1
frame_171_.txt,0
frame_172_.txt,0
frame_577_.txt,1
frame_576_.txt,1
frame_167_.txt,0
frame_173_.txt,1
frame_160_.txt,0
frame_590_.txt,1
frame_147_.txt,1
frame_60_.txt,0
frame_148_.txt,1
frame_601_.txt,1
frame_149_.txt,1
frame_600_.txt,1
frame_14_.txt,0
frame_150_.txt,1
frame_5_.txt,1
frame_151_.txt,1
frame_59_.txt,1
frame_599_.txt,1
frame_152_.txt,0
frame_15_.txt,0
frame_598_.txt,1
frame_597_.txt,0
frame_154_.txt,1
frame_596_.txt,1
frame_155_.txt,1
frame_595_.txt,0
frame_156_.txt,1
frame_594_.txt,1
frame_157_.txt,1
frame_593_.txt,1
frame_592_.txt,1
frame_158_.txt,0
frame_591_.txt,1
frame_159_.txt,1
frame_153_.txt,1
frame_305_.txt,0
frame_575_.txt,1
frame_574_.txt,0
frame_560_.txt,0
frame_191_.txt,1
frame_192_.txt,1
frame_55_.txt,1
frame_193_.txt,1
frame_559_.txt,0
frame_194_.txt,1
frame_195_.txt,1
frame_558_.txt,0
frame_196_.txt,1
frame_197_.txt,0
frame_557_.txt,0
frame_198_.txt,0
frame_190_.txt,1
frame_199_.txt,1
frame_556_.txt,0
frame_1_.txt,1
frame_200_.txt,1
frame_201_.txt,1
frame_555_.txt,0
frame_202_.txt,1
frame_203_.txt,1
frame_554_.txt,0
frame_204_.txt,1
frame_205_.txt,1
frame_553_.txt,0
frame_206_.txt,0
frame_207_.txt,0
