frame_name,class,x,y,width,height
frame_0.jpg,1,0.544516,0.344462,0.025774,0.0539997
frame_0.jpg,0,0.877672,0.49479,0.0756344,0.181402
frame_0.jpg,0,0.404619,0.170773,0.0296957,0.0423106
frame_1.jpg,1,0.544186,0.343966,0.0260778,0.0537949
frame_1.jpg,1,0.361118,0.902725,0.0759844,0.183349
frame_1.jpg,1,0.468371,0.165778,0.0135069,0.0469216
frame_1.jpg,0,0.877727,0.494844,0.0755527,0.18154
frame_2.jpg,1,0.362196,0.944166,0.0398113,0.0995351
frame_2.jpg,1,0.877743,0.49468,0.0756168,0.181638
frame_2.jpg,1,0.543609,0.342168,0.0265028,0.056336
frame_3.jpg,1,0.877744,0.494914,0.075452,0.181128
frame_3.jpg,0,0.371543,0.88416,0.045229,0.10136
frame_3.jpg,1,0.543102,0.342491,0.0255197,0.052976
frame_3.jpg,1,0.409855,0.176323,0.0298949,0.0327889
frame_4.jpg,1,0.542828,0.342062,0.0247663,0.0532839
frame_4.jpg,1,0.375711,0.859339,0.0434662,0.0985745
frame_4.jpg,0,0.877711,0.494707,0.0755798,0.181171
frame_5.jpg,1,0.542105,0.341189,0.0251729,0.0544239
frame_5.jpg,0,0.877695,0.494959,0.0755573,0.181152
frame_5.jpg,1,0.382171,0.810376,0.0375815,0.095303
frame_6.jpg,1,0.541437,0.340485,0.0243026,0.0524118
frame_6.jpg,1,0.414898,0.173345,0.0306875,0.0414873
frame_6.jpg,1,0.87771,0.495057,0.0755762,0.181164
frame_6.jpg,0,0.386017,0.764265,0.0439842,0.0956239
frame_7.jpg,1,0.877465,0.497165,0.0748096,0.177136
frame_7.jpg,0,0.391023,0.744528,0.036668,0.0931468
frame_7.jpg,1,0.541197,0.339613,0.0244599,0.0532539
frame_7.jpg,1,0.415987,0.173277,0.0303364,0.0400683
frame_8.jpg,1,0.877711,0.494877,0.0755339,0.180963
frame_8.jpg,1,0.3996,0.692879,0.0475904,0.115408
frame_8.jpg,0,0.53929,0.338917,0.027449,0.0535045
frame_9.jpg,1,0.420811,0.171924,0.0325452,0.0417583
frame_9.jpg,1,0.8777,0.494912,0.0757343,0.181029
frame_9.jpg,1,0.397651,0.669437,0.0316969,0.0912427
frame_9.jpg,1,0.538371,0.338204,0.0276289,0.0533681
frame_10.jpg,0,0.537671,0.337848,0.0267759,0.0517971
frame_10.jpg,1,0.400636,0.653617,0.0272417,0.0881831
frame_11.jpg,1,0.877695,0.494806,0.0756531,0.181338
frame_11.jpg,1,0.705923,0.284871,0.0590323,0.0730827
frame_11.jpg,1,0.406655,0.620923,0.0349091,0.0864941
frame_11.jpg,0,0.421716,0.172777,0.0270924,0.041458
frame_11.jpg,1,0.536696,0.336567,0.0269531,0.0527456
frame_12.jpg,1,0.53581,0.333947,0.0263393,0.0548773
frame_12.jpg,1,0.408216,0.594343,0.0312437,0.0812517
frame_12.jpg,1,0.427753,0.172872,0.0334534,0.0383247
frame_12.jpg,1,0.877713,0.494898,0.0757,0.181182
frame_13.jpg,0,0.535614,0.332853,0.0259995,0.0563905
frame_13.jpg,1,0.877717,0.494893,0.0757689,0.181398
frame_13.jpg,0,0.411823,0.582566,0.0338072,0.0818965
frame_14.jpg,1,0.414881,0.554224,0.0356036,0.0832901
frame_14.jpg,0,0.534494,0.331068,0.0254163,0.0576865
frame_14.jpg,1,0.432566,0.171628,0.0367777,0.0401425
frame_14.jpg,0,0.877716,0.494804,0.0756855,0.18139
frame_15.jpg,1,0.435793,0.170241,0.0364786,0.0409929
frame_15.jpg,1,0.416134,0.52839,0.0360585,0.0924433
frame_15.jpg,1,0.532715,0.327811,0.026987,0.0609567
frame_16.jpg,1,0.532992,0.330292,0.0247503,0.0558254
frame_16.jpg,0,0.435226,0.169747,0.0336792,0.0407791
frame_16.jpg,1,0.419113,0.519685,0.0351754,0.084837
frame_16.jpg,1,0.877955,0.498413,0.0753483,0.174136
frame_17.jpg,0,0.438492,0.167657,0.0350569,0.0428995
frame_17.jpg,0,0.878273,0.499209,0.074913,0.172481
frame_17.jpg,1,0.420654,0.500547,0.0327429,0.0812564
frame_17.jpg,1,0.531611,0.327356,0.0260002,0.0571526
frame_18.jpg,0,0.43876,0.168632,0.0290154,0.0385403
frame_18.jpg,1,0.878241,0.499085,0.0749258,0.172813
frame_18.jpg,1,0.422593,0.483609,0.032123,0.0770906
frame_18.jpg,1,0.530434,0.327281,0.0252043,0.0562291
frame_19.jpg,0,0.0412591,0.931437,0.0821091,0.136487
frame_19.jpg,0,0.530368,0.325202,0.0247921,0.0541962
frame_19.jpg,1,0.424666,0.473258,0.0299047,0.0811554
frame_19.jpg,0,0.441893,0.168737,0.0322552,0.0412631
frame_19.jpg,1,0.878234,0.499391,0.0748276,0.172184
frame_20.jpg,1,0.0547155,0.90549,0.0928176,0.18007
